id,nome,email,banco,cidade,estado,username,senha,tipo,cpf,rg,data_nascimento,endereco,telefone,renda,profissao,estado_civil,situacao_prof,data_criacao,ativo,motivo_inativacao,data_inativacao,conta_bloqueada,saldo_pendente
1,Usuário 1,user1@demo.com,PagBank,Belo Horizonte,MG,user1,123456,normal,00000000001,000000001,2004-09-22,Rua 1,778004684,5769.34,Programador,divorciado,Autônomo,2025-05-14 23:25:03.233795,1,,,0,
2,Usuário 2,user2@demo.com,Santander,Campinas,SP,user2,123456,normal,00000000002,000000002,1986-02-07,Rua 2,446179340,2037.63,Engenheiro,solteiro,Desempregado,2025-05-14 23:25:03.233867,1,,,0,
3,Usuário 3,user3@demo.com,Santander,São Paulo,SP,user3,123456,normal,00000000003,000000003,2006-10-04,Rua 3,763679437,7075.76,Engenheiro,divorciado,Desempregado,2025-05-14 23:25:03.233884,1,,,0,
4,Usuário 4,user4@demo.com,Santander,São Paulo,SP,user4,123456,normal,00000000004,000000004,1997-03-16,Rua 4,781249622,6315.02,Designer,solteiro,PJ,2025-05-14 23:25:03.233898,1,,,0,
5,Usuário 5,user5@demo.com,Banco do Brasil,Curitiba,PR,user5,123456,normal,00000000005,000000005,2003-01-13,Rua 5,674899856,8404.57,Programador,casado,CLT,2025-05-14 23:25:03.233913,1,,,0,
6,Usuário 6,user6@demo.com,Bradesco,Porto Alegre,RS,user6,123456,normal,00000000006,000000006,1986-05-30,Rua 6,254371352,6274.38,Estudante,solteiro,CLT,2025-05-14 23:25:03.233925,1,,,0,
7,Usuário 7,user7@demo.com,Bradesco,Brasília,DF,user7,123456,normal,00000000007,000000007,2004-12-23,Rua 7,252294589,2824.63,Professor,solteiro,CLT,2025-05-14 23:25:03.233937,1,,,0,
8,Usuário 8,user8@demo.com,Caixa,Brasília,DF,user8,123456,normal,00000000008,000000008,1986-11-29,Rua 8,323308727,3908.0,Vendedor,solteiro,Desempregado,2025-05-14 23:25:03.233950,1,,,0,
9,Usuário 9,user9@demo.com,C6 Bank,Rio de Janeiro,RJ,user9,123456,normal,00000000009,000000009,1985-11-13,Rua 9,771821748,763.13,Programador,casado,Autônomo,2025-05-14 23:25:03.233962,1,,,0,
10,Usuário 10,user10@demo.com,Santander,Brasília,DF,user10,123456,normal,00000000010,000000010,2003-05-08,Rua 10,420785720,101.4,Professor,divorciado,CLT,2025-05-14 23:25:03.233974,1,,,0,
11,Usuário 11,user11@demo.com,Caixa,Rio de Janeiro,RJ,user11,123456,normal,00000000011,000000011,1999-08-09,Rua 11,619595468,9949.16,Estudante,divorciado,CLT,2025-05-14 23:25:03.233986,1,,,0,
12,Usuário 12,user12@demo.com,PagBank,Belo Horizonte,MG,user12,123456,normal,00000000012,000000012,1990-09-30,Rua 12,373268387,9265.83,Médico,divorciado,CLT,2025-05-14 23:25:03.233998,1,,,0,
13,Usuário 13,user13@demo.com,Itaú,Campinas,SP,user13,123456,normal,00000000013,000000013,1995-10-06,Rua 13,649481705,7609.61,Médico,casado,CLT,2025-05-14 23:25:03.234009,1,,,0,
14,Usuário 14,user14@demo.com,Itaú,Curitiba,PR,user14,123456,normal,00000000014,000000014,2000-01-13,Rua 14,248783057,2197.61,Professor,casado,Autônomo,2025-05-14 23:25:03.234020,1,,,0,
15,Usuário 15,user15@demo.com,Nubank,Brasília,DF,user15,123456,normal,00000000015,000000015,1986-01-01,Rua 15,198751865,3485.53,Gerente,divorciado,Autônomo,2025-05-14 23:25:03.234032,1,,,0,
16,Usuário 16,user16@demo.com,C6 Bank,Brasília,DF,user16,123456,normal,00000000016,000000016,1997-08-07,Rua 16,650460773,9463.46,Médico,casado,PJ,2025-05-14 23:25:03.234043,1,,,0,
17,Usuário 17,user17@demo.com,Banco do Brasil,Curitiba,PR,user17,123456,normal,00000000017,000000017,1985-10-22,Rua 17,521793625,1028.95,Estudante,casado,PJ,2025-05-14 23:25:03.234053,1,,,0,
18,Usuário 18,user18@demo.com,C6 Bank,Curitiba,PR,user18,123456,normal,00000000018,000000018,1997-08-29,Rua 18,579058222,4237.37,Advogado,casado,CLT,2025-05-14 23:25:03.234065,1,,,0,
